storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin
AL131981,EMILY,47,1981-09-01T00:00:00Z,Subtropical storm,NA,29.9,-69.7,35,1981,NATL
AL131981,EMILY,47,1981-09-01T06:00:00Z,Subtropical storm,NA,30.1,-68.4,40,1981,NATL
AL131981,EMILY,47,1981-09-01T12:00:00Z,Tropical storm,NA,30.4,-67.3,40,1981,NATL
AL131981,EMILY,47,1981-09-01T18:00:00Z,Tropical storm,NA,31.3,-66.6,45,1981,NATL
AL131981,EMILY,47,1981-09-02T00:00:00Z,Tropical storm,NA,31.9,-65.9,50,1981,NATL
AL131981,EMILY,47,1981-09-02T06:00:00Z,Tropical storm,NA,32.6,-65.1,50,1981,NATL
AL131981,EMILY,47,1981-09-02T12:00:00Z,Tropical storm,NA,33.3,-64.4,50,1981,NATL
AL131981,EMILY,47,1981-09-02T18:00:00Z,Tropical storm,NA,34.1,-64.1,55,1981,NATL
AL131981,EMILY,47,1981-09-03T00:00:00Z,Tropical storm,NA,35,-64,55,1981,NATL
AL131981,EMILY,47,1981-09-03T06:00:00Z,Tropical storm,NA,36,-65,60,1981,NATL
AL131981,EMILY,47,1981-09-03T12:00:00Z,Tropical storm,NA,35,-65.8,60,1981,NATL
AL131981,EMILY,47,1981-09-03T18:00:00Z,Tropical storm,NA,34.2,-65,60,1981,NATL
AL131981,EMILY,47,1981-09-04T00:00:00Z,Hurricane,NA,34.6,-63.6,65,1981,NATL
AL131981,EMILY,47,1981-09-04T06:00:00Z,Hurricane,NA,35.3,-62.7,70,1981,NATL
AL131981,EMILY,47,1981-09-04T12:00:00Z,Hurricane,NA,36.2,-61.9,70,1981,NATL
AL131981,EMILY,47,1981-09-04T18:00:00Z,Hurricane,NA,37.1,-61.2,70,1981,NATL
AL131981,EMILY,47,1981-09-05T00:00:00Z,Hurricane,NA,38.2,-60.9,75,1981,NATL
AL131981,EMILY,47,1981-09-05T06:00:00Z,Hurricane,NA,38.6,-60.8,75,1981,NATL
AL131981,EMILY,47,1981-09-05T12:00:00Z,Hurricane,NA,39,-60.8,75,1981,NATL
AL131981,EMILY,47,1981-09-05T18:00:00Z,Hurricane,NA,39.4,-59.9,80,1981,NATL
AL131981,EMILY,47,1981-09-06T00:00:00Z,Hurricane,NA,39.9,-59,80,1981,NATL
AL131981,EMILY,47,1981-09-06T06:00:00Z,Hurricane,NA,40.3,-58.4,80,1981,NATL
