storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin
EP011986,AGATHA,31,1986-05-22T00:00:00Z,Tropical depression,NA,12.6,-107.5,25,1986,EPAC
EP011986,AGATHA,31,1986-05-22T06:00:00Z,Tropical depression,NA,12.2,-107.4,25,1986,EPAC
EP011986,AGATHA,31,1986-05-22T12:00:00Z,Tropical depression,NA,11.8,-107.2,25,1986,EPAC
EP011986,AGATHA,31,1986-05-22T18:00:00Z,Tropical depression,NA,11.5,-106.8,25,1986,EPAC
EP011986,AGATHA,31,1986-05-23T00:00:00Z,Tropical depression,NA,11.3,-106.4,25,1986,EPAC
EP011986,AGATHA,31,1986-05-23T06:00:00Z,Tropical depression,NA,11,-106.1,25,1986,EPAC
EP011986,AGATHA,31,1986-05-23T12:00:00Z,Tropical depression,NA,10.7,-105.6,25,1986,EPAC
EP011986,AGATHA,31,1986-05-23T18:00:00Z,Tropical depression,NA,10.5,-105.2,30,1986,EPAC
EP011986,AGATHA,31,1986-05-24T00:00:00Z,Tropical depression,NA,10.3,-105.1,30,1986,EPAC
EP011986,AGATHA,31,1986-05-24T06:00:00Z,Tropical storm,NA,10.3,-105.4,35,1986,EPAC
EP011986,AGATHA,31,1986-05-24T12:00:00Z,Tropical storm,NA,10.7,-105,35,1986,EPAC
EP011986,AGATHA,31,1986-05-24T18:00:00Z,Tropical storm,NA,11.5,-104.8,40,1986,EPAC
EP011986,AGATHA,31,1986-05-25T00:00:00Z,Tropical storm,NA,12.4,-104.7,45,1986,EPAC
EP011986,AGATHA,31,1986-05-25T06:00:00Z,Tropical storm,NA,13.2,-104.5,45,1986,EPAC
EP011986,AGATHA,31,1986-05-25T12:00:00Z,Tropical storm,NA,14.1,-104.3,45,1986,EPAC
EP011986,AGATHA,31,1986-05-25T18:00:00Z,Tropical storm,NA,15,-104,50,1986,EPAC
EP011986,AGATHA,31,1986-05-26T00:00:00Z,Hurricane,NA,15.8,-103.6,65,1986,EPAC
EP011986,AGATHA,31,1986-05-26T06:00:00Z,Hurricane,NA,16.5,-103,65,1986,EPAC
EP011986,AGATHA,31,1986-05-26T12:00:00Z,Hurricane,NA,16.6,-102.2,65,1986,EPAC
EP011986,AGATHA,31,1986-05-26T18:00:00Z,Tropical storm,NA,16.3,-101.5,55,1986,EPAC
EP011986,AGATHA,31,1986-05-27T00:00:00Z,Tropical storm,NA,16,-100.8,50,1986,EPAC
