storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,storm.year,basin,sst,sst.norm,sst.class
AL011966,ALMA,42,907200,34632626746.533325,110,1966,NATL,27.584636694220958,0.9983428145443433,low
AL021966,BECKY,9,194400,3413930333.662963,65,1966,NATL,27.584636694220958,0.9983428145443433,low
AL031966,CELIA,36,777600,7839872103.588887,70,1966,NATL,27.584636694220958,0.9983428145443433,low
AL041966,DOROTHY,37,799200,21340832517.548145,75,1966,NATL,27.584636694220958,0.9983428145443433,low
AL051966,ELLA,26,561600,4646503652.148148,45,1966,NATL,27.584636694220958,0.9983428145443433,low
AL061966,FAITH,69,1490400,120569417710.50368,110,1966,NATL,27.584636694220958,0.9983428145443433,low
AL071966,GRETA,26,561600,2944501127.666666,50,1966,NATL,27.584636694220958,0.9983428145443433,low
AL081966,HALLIE,7,151200,1098765776.6037035,45,1966,NATL,27.584636694220958,0.9983428145443433,low
AL091966,INEZ,81,1749600,163343351132.99628,130,1966,NATL,27.584636694220958,0.9983428145443433,low
AL101966,JUDITH,15,324e3,1869629554.97037,45,1966,NATL,27.584636694220958,0.9983428145443433,low
AL111966,LOIS,39,842400,21180557549.799995,70,1966,NATL,27.584636694220958,0.9983428145443433,low
AL111967,ARLENE,29,626400,11705219089.53333,75,1967,NATL,27.314482106818136,0.9885653832103898,low
AL121967,CHLOE,68,1468800,73559593339.93332,95,1967,NATL,27.314482106818136,0.9885653832103898,low
AL131967,BEULAH,70,1512e3,145222722095.89258,140,1967,NATL,27.314482106818136,0.9885653832103898,low
AL141967,DORIA,55,1188e3,26411917792.974068,75,1967,NATL,27.314482106818136,0.9885653832103898,low
AL181967,EDITH,21,453600,2501906950.674073,50,1967,NATL,27.314482106818136,0.9885653832103898,low
AL191967,FERN,13,280800,6738533105.025926,75,1967,NATL,27.314482106818136,0.9885653832103898,low
AL211967,GINGER,14,302400,1639877594.3222218,45,1967,NATL,27.314482106818136,0.9885653832103898,low
AL251967,HEIDI,54,1166400,39029527868.63332,80,1967,NATL,27.314482106818136,0.9885653832103898,low
AL011968,ABBY,51,1101600,10797606944.188889,65,1968,NATL,27.46419157719874,0.9939836664265334,low
AL021968,BRENDA,37,799200,13058733840.103703,65,1968,NATL,27.46419157719874,0.9939836664265334,low
AL031968,CANDY,15,324e3,1634363547.2666664,60,1968,NATL,27.46419157719874,0.9939836664265334,low
AL041968,UNNAMED,5,108e3,229751960.64814812,25,1968,NATL,27.46419157719874,0.9939836664265334,low
AL051968,DOLLY,29,626400,11944528731.744444,70,1968,NATL,27.46419157719874,0.9939836664265334,low
AL061968,UNNAMED,25,54e4,1148759803.2407408,25,1968,NATL,27.46419157719874,0.9939836664265334,low
AL071968,UNNAMED,15,324e3,889967194.7666665,30,1968,NATL,27.46419157719874,0.9939836664265334,low
AL081968,EDNA,31,669600,6790365147.348148,55,1968,NATL,27.46419157719874,0.9939836664265334,low
AL091968,UNNAMED,38,820800,18177239920.207405,70,1968,NATL,27.46419157719874,0.9939836664265334,low
AL101968,UNNAMED,19,410400,873057450.4629629,25,1968,NATL,27.46419157719874,0.9939836664265334,low
AL111968,UNNAMED,11,237600,605809969.837037,30,1968,NATL,27.46419157719874,0.9939836664265334,low
AL121968,FRANCES,30,648e3,4273386468.055555,50,1968,NATL,27.46419157719874,0.9939836664265334,low
AL141968,GLADYS,34,734400,21762840918.866665,75,1968,NATL,27.46419157719874,0.9939836664265334,low
AL151968,UNNAMED,5,108e3,229751960.64814812,25,1968,NATL,27.46419157719874,0.9939836664265334,low
AL011969,UNNAMED,17,367200,781156666.2037036,25,1969,NATL,27.883412996528662,1.009156122614031,high
AL021969,UNNAMED,5,108e3,229751960.64814812,25,1969,NATL,27.883412996528662,1.009156122614031,high
AL031969,UNNAMED,9,194400,413553529.1666666,25,1969,NATL,27.883412996528662,1.009156122614031,high
AL041969,UNNAMED,13,280800,597355097.6851852,25,1969,NATL,27.883412996528662,1.009156122614031,high
AL051969,UNNAMED,9,194400,480457300.10740733,30,1969,NATL,27.883412996528662,1.009156122614031,high
