storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,sst
AL031983,ALICIA,25,1983-08-18T07:00:00Z,Hurricane,L,29.1,-95.1,100,1983,28.22999936901033
AL031983,ALICIA,25,1983-08-18T12:00:00Z,Hurricane,IL,29.7,-95.5,80,1983,NA
AL031983,ALICIA,25,1983-08-18T18:00:00Z,Tropical storm,IL,30.5,-96,40,1983,NA
AL031983,ALICIA,25,1983-08-19T00:00:00Z,Tropical storm,IL,31.5,-96.7,35,1983,NA
AL031983,ALICIA,25,1983-08-19T06:00:00Z,Tropical depression,IL,32.4,-97.4,30,1983,NA
AL031983,ALICIA,25,1983-08-19T12:00:00Z,Tropical depression,IL,33.3,-98,25,1983,NA
AL031983,ALICIA,25,1983-08-19T18:00:00Z,Tropical depression,IL,34.4,-98.5,25,1983,NA
AL031983,ALICIA,25,1983-08-20T00:00:00Z,Tropical depression,IL,35.4,-99,20,1983,NA
AL031983,ALICIA,25,1983-08-20T06:00:00Z,Extratropical cyclone,IL,36.5,-99.4,20,1983,NA
AL031983,ALICIA,25,1983-08-20T12:00:00Z,Extratropical cyclone,IL,37.6,-99.2,20,1983,NA
AL031983,ALICIA,25,1983-08-20T18:00:00Z,Extratropical cyclone,IL,38.9,-99,20,1983,NA
AL031983,ALICIA,25,1983-08-21T00:00:00Z,Extratropical cyclone,IL,40,-98,20,1983,NA
AL031983,ALICIA,25,1983-08-21T06:00:00Z,Extratropical cyclone,IL,41.2,-97,20,1983,NA
AL041983,BARRY,26,1983-08-25T11:00:00Z,Tropical depression,L,27.9,-80.6,30,1983,NA
AL041983,BARRY,26,1983-08-25T12:00:00Z,Tropical depression,IL,27.9,-80.8,30,1983,NA
AL041983,BARRY,26,1983-08-25T18:00:00Z,Tropical depression,IL,27.5,-82,25,1983,NA
AL041983,BARRY,26,1983-08-28T17:25:00Z,Hurricane,L,25.4,-97.4,70,1983,29.34999934397638
AL041983,BARRY,26,1983-08-28T18:00:00Z,Hurricane,IL,25.4,-97.5,70,1983,NA
AL041983,BARRY,26,1983-08-29T00:00:00Z,Tropical storm,IL,25.5,-98.5,40,1983,NA
AL041983,BARRY,26,1983-08-29T06:00:00Z,Tropical depression,IL,25.5,-99.5,30,1983,NA
