storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin,file.id,sst
AL131981,EMILY,47,1981-09-01T00:00:00Z,Subtropical storm,NA,29.9,-69.7,35,1981,NATL,19810901,27.52999938465655
AL131981,EMILY,47,1981-09-01T06:00:00Z,Subtropical storm,NA,30.1,-68.4,40,1981,NATL,19810901,26.60999940522015
AL131981,EMILY,47,1981-09-01T12:00:00Z,Tropical storm,NA,30.4,-67.3,40,1981,NATL,19810901,26.089999416843057
AL131981,EMILY,47,1981-09-01T18:00:00Z,Tropical storm,NA,31.3,-66.6,45,1981,NATL,19810901,25.659999426454306
AL131981,EMILY,47,1981-09-02T00:00:00Z,Tropical storm,NA,31.9,-65.9,50,1981,NATL,19810902,25.75999942421913
AL131981,EMILY,47,1981-09-02T06:00:00Z,Tropical storm,NA,32.6,-65.1,50,1981,NATL,19810902,25.55999942868948
AL131981,EMILY,47,1981-09-02T12:00:00Z,Tropical storm,NA,33.3,-64.4,50,1981,NATL,19810902,25.0899994391948
AL131981,EMILY,47,1981-09-02T18:00:00Z,Tropical storm,NA,34.1,-64.1,55,1981,NATL,19810902,25.78999942354858
AL131981,EMILY,47,1981-09-03T00:00:00Z,Tropical storm,NA,35,-64,55,1981,NATL,19810903,24.959999442100525
AL131981,EMILY,47,1981-09-03T06:00:00Z,Tropical storm,NA,36,-65,60,1981,NATL,19810903,25.199999436736107
AL131981,EMILY,47,1981-09-03T12:00:00Z,Tropical storm,NA,35,-65.8,60,1981,NATL,19810903,24.529999451711774
AL131981,EMILY,47,1981-09-03T18:00:00Z,Tropical storm,NA,34.2,-65,60,1981,NATL,19810903,24.929999442771077
AL131981,EMILY,47,1981-09-04T00:00:00Z,Hurricane,NA,34.6,-63.6,65,1981,NATL,19810904,25.069999439641833
AL131981,EMILY,47,1981-09-04T06:00:00Z,Hurricane,NA,35.3,-62.7,70,1981,NATL,19810904,25.659999426454306
AL131981,EMILY,47,1981-09-04T12:00:00Z,Hurricane,NA,36.2,-61.9,70,1981,NATL,19810904,24.489999452605844
AL131981,EMILY,47,1981-09-04T18:00:00Z,Hurricane,NA,37.1,-61.2,70,1981,NATL,19810904,24.989999441429973
AL131981,EMILY,47,1981-09-05T00:00:00Z,Hurricane,NA,38.2,-60.9,75,1981,NATL,19810905,25.109999438747764
AL131981,EMILY,47,1981-09-05T06:00:00Z,Hurricane,NA,38.6,-60.8,75,1981,NATL,19810905,25.539999429136515
AL131981,EMILY,47,1981-09-05T12:00:00Z,Hurricane,NA,39,-60.8,75,1981,NATL,19810905,25.429999431595206
AL131981,EMILY,47,1981-09-05T18:00:00Z,Hurricane,NA,39.4,-59.9,80,1981,NATL,19810905,24.31999945640564
AL131981,EMILY,47,1981-09-06T00:00:00Z,Hurricane,NA,39.9,-59,80,1981,NATL,19810906,24.1699994597584
AL131981,EMILY,47,1981-09-06T06:00:00Z,Hurricane,NA,40.3,-58.4,80,1981,NATL,19810906,24.349999455735087
AL131981,EMILY,47,1981-09-06T12:00:00Z,Hurricane,NA,40.8,-58,80,1981,NATL,19810906,23.38999947719276
AL131981,EMILY,47,1981-09-06T18:00:00Z,Hurricane,NA,41.2,-57.4,75,1981,NATL,19810906,22.089999506250024
AL131981,EMILY,47,1981-09-07T00:00:00Z,Hurricane,NA,41.6,-56.8,75,1981,NATL,19810907,19.549999563023448
AL131981,EMILY,47,1981-09-07T06:00:00Z,Hurricane,NA,41.9,-55.9,70,1981,NATL,19810907,20.79999953508377
AL131981,EMILY,47,1981-09-07T12:00:00Z,Hurricane,NA,42,-55,70,1981,NATL,19810907,22.11999950557947
AL131981,EMILY,47,1981-09-07T18:00:00Z,Hurricane,NA,42.3,-54.1,65,1981,NATL,19810907,21.129999527707696
AL131981,EMILY,47,1981-09-08T00:00:00Z,Tropical storm,NA,42.7,-53.4,60,1981,NATL,19810908,19.959999553859234
AL131981,EMILY,47,1981-09-08T06:00:00Z,Tropical storm,NA,42.9,-52.5,60,1981,NATL,19810908,17.85999960079789
AL131981,EMILY,47,1981-09-08T12:00:00Z,Tropical storm,NA,42.2,-51.9,55,1981,NATL,19810908,18.149999594315886
AL131981,EMILY,47,1981-09-08T18:00:00Z,Tropical storm,NA,41.7,-51.2,55,1981,NATL,19810908,18.329999590292573
AL131981,EMILY,47,1981-09-09T00:00:00Z,Tropical storm,NA,41,-50.2,55,1981,NATL,19810909,20.859999533742666
AL131981,EMILY,47,1981-09-09T06:00:00Z,Tropical storm,NA,40.9,-49.1,50,1981,NATL,19810909,19.47999956458807
