storm.year,basin,sst.class,sst
1986,EPAC,low,28.09331911277307
1987,EPAC,high,28.47487912885754
1988,EPAC,low,27.52822017159195
1989,EPAC,low,27.838754871117807
1990,EPAC,high,28.411626754537988
1991,EPAC,high,28.28026766533399
1992,EPAC,high,28.297883987426758
1993,EPAC,high,28.240497085125778
1994,EPAC,high,28.348828755213976
1995,EPAC,low,28.128978079542918
1996,EPAC,low,28.018909272428267
1997,EPAC,high,28.82851453349538
1998,EPAC,high,28.257952934692085
1999,EPAC,low,27.691887050359497
2000,EPAC,low,27.900521896065296
2001,EPAC,low,28.129445983255575
2002,EPAC,high,28.284600521932262
2003,EPAC,high,28.254793315618286
2004,EPAC,high,28.33148153727362
2005,EPAC,low,28.126920968308646
2006,EPAC,high,28.404811687423074
2007,EPAC,low,27.97511602898294
2008,EPAC,low,28.041740312599497
2009,EPAC,high,28.47301643724279
2010,EPAC,low,27.728333147888925
2011,EPAC,low,27.826611549024744
2012,EPAC,high,28.286013922030037
2013,EPAC,low,28.117869567871093
2014,EPAC,high,28.584473814581433
2015,EPAC,high,29.099918058260805
2016,EPAC,high,28.51001061859502
1966,NATL,low,27.584636694220958
1967,NATL,low,27.314482106818136
1968,NATL,low,27.46419157719874
1969,NATL,high,27.883412996528662
1970,NATL,low,27.471000382140442
1971,NATL,low,27.149286657899292
1972,NATL,low,27.29580867354125
1973,NATL,low,27.36562474279239
1974,NATL,low,27.063064410211155
1975,NATL,low,27.226232836197834
1976,NATL,low,27.386322062206418
1977,NATL,low,27.370294240954532
1978,NATL,low,27.333328795620186
1979,NATL,high,27.636616160693684
1980,NATL,high,27.72804292322515
1981,NATL,low,27.62524714597166
1982,NATL,low,27.305510971272945
1983,NATL,high,27.653298357330275
1984,NATL,low,27.06616957558193
1985,NATL,low,27.32673762005577
1986,NATL,low,27.217902075439646
1987,NATL,high,27.9856107924385
1988,NATL,low,27.536121007898352
1989,NATL,low,27.51291703803573
1990,NATL,high,27.668696096291534
1991,NATL,low,27.317933326014543
1992,NATL,low,27.424748506051966
1993,NATL,low,27.450025110529207
1994,NATL,low,27.273004523476402
1995,NATL,high,27.916671482547297
1996,NATL,low,27.532323338734674
1997,NATL,high,27.927409872117934
1998,NATL,high,28.09723093311304
1999,NATL,high,27.727182850920048
2000,NATL,low,27.511306560282804
2001,NATL,high,27.822572124547076
2002,NATL,low,27.559447975997088
2003,NATL,high,27.965344562859887
2004,NATL,high,27.959626687078313
2005,NATL,high,28.160554487027778
2006,NATL,high,27.98894616820187
2007,NATL,high,27.671286570071427
2008,NATL,high,27.875994694887936
2009,NATL,high,27.891355175275816
2010,NATL,high,28.28497099943775
2011,NATL,high,27.906829222854302
2012,NATL,high,27.974855841572282
2013,NATL,high,27.887644722547787
2014,NATL,high,27.81893762890922
2015,NATL,high,27.99822065781574
2016,NATL,high,28.036717139083887
